iter	Passed	Remaining
979	158474	3234
980	158497	3069
981	158536	2905
982	158566	2742
983	158610	2579
984	158647	2415
985	158680	2253
986	158767	2091
987	158787	1928
988	158835	1766
989	158852	1604
990	158885	1442
991	158952	1281
992	158982	1120
993	159014	959
994	159042	799
995	159102	638
996	159124	478
997	159157	318
998	159190	159
999	159243	0
